StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_6_TEXT,Q2,Q3,Q4,Q5,Q6,Q7,Q7_4_TEXT,Q8_1,Q8_2,Q8_3,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q7_4_TEXT - Topics,Q7_4_TEXT - Parent Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is the grocery store you often go to? - Selected Choice,What is the grocery store you often go to? - Other (Please mention below) - Text,Do you have a car?,"Did you ever face a situation when you needed to go to the grocery, but none of your friends were available to give a ride?","If a student from UofM (whom you don’t know) offers to give you a ride, would you go to the grocery with him/her?",How likely would you prefer to go grocery shopping with someone from your country?,"If a student from UofM gives you a ride to go to the grocery shop, will you give him/her incentive?",How much incentive are you willing to pay a student if he/she gives you a ride to the grocery shop? - Selected Choice,How much incentive are you willing to pay a student if he/she gives you a ride to the grocery shop? - Other amount (Please mention below) - Text,"If you need a ride urgently (other than grocery), rank the following options according to your preference: - Ask friends","If you need a ride urgently (other than grocery), rank the following options according to your preference: - Ask people I know","If you need a ride urgently (other than grocery), rank the following options according to your preference: - Call Uber/Lyft",Did you ever use Uber/Lyft service?,"If you have used Uber/Lyft, do you choose a driver based on how distant the rider is from your location?","Suppose, you are going to the grocery and another UofM student wants to go to the grocery with you, will you give a ride?","As an international student, would you prefer to give rides only to international students?",How often do you go to the grocery in a month?,"After getting a car, did you ever need a ride from others? (e.g. car problem, long distance, etc.)",How likely do you want incentives to give rides to others?,How much incentive would you expect from a UofM student if you give him/her a ride?,Select all the information that you would like to know to make sure a person is from UofM:,Which days do yWhich ou go to grocery shops in a week?,"Suppose, you need to pick up your friend from a place. Approx. How much distance will seem long to you for that pickup?",Which time do you go to the grocery mostly?,Q7_4_TEXT - Topics,Q7_4_TEXT - Parent Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_6_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID30""}","{""ImportId"":""QID30_4_TEXT""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID28_3""}","{""ImportId"":""QID32""}","{""ImportId"":""QID31""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID15""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID21""}","{""ImportId"":""QID30_4_TEXT_5d4ca28978f04ecf9d15eadcTopics""}","{""ImportId"":""QID30_4_TEXT_5d4ca28978f04ecf9d15eadcParTopics""}"
4/20/2021 0:03,4/20/2021 0:10,IP Address,76.107.124.33,100,435,TRUE,4/20/2021 0:10,R_33lNgCOofuAD9B0,,,,,35.10629272,-89.94100189,anonymous,EN,Other (Please mention below),,Yes,,,,,,,,,,,,Most of the time,Yes,It varies month to month,No,Somewhat likely,None at all,Photo ID,Thurs,2 miles,Afternoon,,
4/22/2021 9:58,4/22/2021 10:03,IP Address,76.107.124.33,100,310,TRUE,4/22/2021 10:03,R_3fdENXu5pfrlBHY,,,,,35.10629272,-89.94100189,social,EN,Kroger,,No,,,,,,,,,,,,,,,,,,,,,,,
4/22/2021 11:10,4/22/2021 11:13,IP Address,68.56.158.70,100,204,TRUE,4/22/2021 11:13,R_3ltuY9m3lgiYYX9,,,,,42.6678009,-83.29170227,social,EN,Walmart,,Yes,,,,,,,,,,,,Sometimes,No,Once a week,No,Somewhat unlikely,None at all,Other,"Sat,Sun,Thurs,Fri",> 3 miles,Afternoon,,
4/22/2021 11:12,4/22/2021 11:15,IP Address,45.3.68.86,100,170,TRUE,4/22/2021 11:15,R_5mCTtCNXthgFcRj,,,,,37.25320435,-80.43470001,social,EN,Kroger,,Yes,,,,,,,,,,,,Always,Yes,It varies month to month,Yes,Extremely likely,None at all,Student ID,"Sat,Tues",> 3 miles,Evening,,
4/22/2021 11:15,4/22/2021 11:17,IP Address,67.185.56.247,100,133,TRUE,4/22/2021 11:17,R_3fAHMn2OE5E1tG5,,,,,47.62950134,-122.3164978,social,EN,Walmart,,No,Sometimes this happened,Probably not,Extremely likely,Probably yes,$3 - $4,,1,3,2,Definitely yes,Probably,,,,,,,,,,,,
4/22/2021 11:17,4/22/2021 11:19,IP Address,45.3.68.86,100,124,TRUE,4/22/2021 11:19,R_10Dy54zehhNUw1S,,,,,37.25320435,-80.43470001,social,EN,Kroger,,No,I can barely remember if this happened or not,Probably yes,Extremely likely,Probably yes,$5 - $6,,1,3,2,Definitely yes,Probably,,,,,,,,,,,,
4/22/2021 11:17,4/22/2021 11:19,IP Address,174.206.33.187,100,131,TRUE,4/22/2021 11:19,R_1eqUbX80dnUNyML,,,,,37.602005,-79.04599762,social,EN,Walmart,,Yes,,,,,,,,,,,,Sometimes,Yes,2-3 times in a month,No,Somewhat likely,A moderate amount,Name,Sat,2 miles,Noon,,
4/22/2021 11:21,4/22/2021 11:25,IP Address,128.231.227.113,100,194,TRUE,4/22/2021 11:25,R_3HvlXGYAAKWuBqN,,,,,38.97569275,-77.02819824,social,EN,Walmart,,No,Sometimes this happened,Probably yes,Extremely likely,Probably not,$5 - $6,,1,2,3,Definitely not,Definitely,,,,,,,,,,,,
